Enter the filename of students' data list:students.csv
Enter the filename of schools' data list:schools.csv

Successfully imported data of 41 student(s)!
ID: 20031, Name: Chiro, Score: 685
        Wish No.1: School: 20008, Major(s): 201 , Exchange: 1
ID: 20045, Name: Alex, Score: 671
        Wish No.1: School: 20008, Major(s): 201 202 , Exchange: 1
        Wish No.2: School: 20002, Major(s): 201 202 , Exchange: 1
        Wish No.3: School: 20003, Major(s): 201 202 203 , Exchange: 1
ID: 20103, Name: Abe, Score: 698
        Wish No.1: School: 20002, Major(s): 204 204 201 202 , Exchange: 1
ID: 20154, Name: Nick, Score: 700
        Wish No.1: School: 20006, Major(s): 204 204 204 204 , Exchange: 0
        Wish No.2: School: 20004, Major(s): 202 201 , Exchange: 1
        Wish No.3: School: 20001, Major(s): 201 202 , Exchange: 1
        Wish No.4: School: 20001, Major(s): 203 203 202 , Exchange: 0
        Wish No.5: School: 20001, Major(s): 203 201 201 203 , Exchange: 1
ID: 20186, Name: Saoirse, Score: 700
        Wish No.1: School: 20002, Major(s): 201 , Exchange: 1
        Wish No.2: School: 20002, Major(s): 201 203 201 , Exchange: 0
        Wish No.3: School: 20001, Major(s): 204 201 201 204 , Exchange: 0
        Wish No.4: School: 20007, Major(s): 203 204 204 202 , Exchange: 1
ID: 20194, Name: Chip, Score: 694
        Wish No.1: School: 20004, Major(s): 201 202 , Exchange: 0
        Wish No.2: School: 20009, Major(s): 202 201 203 , Exchange: 0
ID: 20206, Name: Dale, Score: 648
        Wish No.1: School: 20003, Major(s): 202 201 203 , Exchange: 0
        Wish No.2: School: 20002, Major(s): 202 203 201 204 , Exchange: 1
        Wish No.3: School: 20009, Major(s): 201 , Exchange: 1
        Wish No.4: School: 20007, Major(s): 204 204 204 204 , Exchange: 0
        Wish No.5: School: 20005, Major(s): 201 202 , Exchange: 0
ID: 20208, Name: Elsa, Score: 671
        Wish No.1: School: 20003, Major(s): 202 204 202 201 , Exchange: 1
ID: 20228, Name: Anna, Score: 624
        Wish No.1: School: 20007, Major(s): 201 203 202 204 , Exchange: 0
        Wish No.2: School: 20003, Major(s): 201 , Exchange: 0
        Wish No.3: School: 20008, Major(s): 202 201 , Exchange: 0
        Wish No.4: School: 20006, Major(s): 201 201 201 202 , Exchange: 0
        Wish No.5: School: 20004, Major(s): 201 , Exchange: 0
ID: 20234, Name: Olaf, Score: 673
        Wish No.1: School: 20006, Major(s): 201 , Exchange: 1
        Wish No.2: School: 20006, Major(s): 201 , Exchange: 1
        Wish No.3: School: 20001, Major(s): 201 203 201 , Exchange: 0
        Wish No.4: School: 20005, Major(s): 201 202 , Exchange: 1
ID: 20243, Name: Kristoff, Score: 650
        Wish No.1: School: 20008, Major(s): 202 201 , Exchange: 0
ID: 20255, Name: Bell, Score: 632
        Wish No.1: School: 20005, Major(s): 202 203 202 , Exchange: 1
ID: 20269, Name: Einstein, Score: 620
        Wish No.1: School: 20002, Major(s): 203 201 203 , Exchange: 1
        Wish No.2: School: 20009, Major(s): 201 202 , Exchange: 0
        Wish No.3: School: 20002, Major(s): 203 201 203 , Exchange: 0
ID: 20287, Name: Monica, Score: 625
        Wish No.1: School: 20005, Major(s): 202 202 , Exchange: 0
        Wish No.2: School: 20003, Major(s): 202 201 , Exchange: 0
ID: 20288, Name: Yuri, Score: 671
        Wish No.1: School: 20002, Major(s): 201 202 , Exchange: 1
        Wish No.2: School: 20006, Major(s): 204 203 204 203 , Exchange: 1
        Wish No.3: School: 20001, Major(s): 201 201 , Exchange: 0
ID: 20321, Name: Sayori, Score: 664
        Wish No.1: School: 20005, Major(s): 203 201 202 , Exchange: 0
        Wish No.2: School: 20003, Major(s): 203 201 202 203 , Exchange: 0
        Wish No.3: School: 20003, Major(s): 201 201 , Exchange: 0
ID: 20374, Name: Natsuki, Score: 622
        Wish No.1: School: 20007, Major(s): 201 , Exchange: 0
        Wish No.2: School: 20002, Major(s): 204 203 201 202 , Exchange: 0
        Wish No.3: School: 20005, Major(s): 202 202 202 , Exchange: 0
        Wish No.4: School: 20009, Major(s): 204 204 203 201 , Exchange: 1
        Wish No.5: School: 20004, Major(s): 201 202 , Exchange: 0
        Wish No.6: School: 20005, Major(s): 201 , Exchange: 0
ID: 20390, Name: Lily, Score: 622
        Wish No.1: School: 20006, Major(s): 201 , Exchange: 0
        Wish No.2: School: 20008, Major(s): 202 202 , Exchange: 1
ID: 20438, Name: Delta, Score: 666
        Wish No.1: School: 20006, Major(s): 201 204 202 204 , Exchange: 1
        Wish No.2: School: 20007, Major(s): 202 202 , Exchange: 0
        Wish No.3: School: 20004, Major(s): 201 201 , Exchange: 0
        Wish No.4: School: 20005, Major(s): 201 , Exchange: 0
        Wish No.5: School: 20001, Major(s): 201 , Exchange: 0
ID: 20451, Name: Sarah, Score: 646
        Wish No.1: School: 20002, Major(s): 203 201 204 201 , Exchange: 0
        Wish No.2: School: 20002, Major(s): 202 202 201 203 , Exchange: 1
ID: 20474, Name: Serena, Score: 630
        Wish No.1: School: 20009, Major(s): 203 202 201 , Exchange: 0
ID: 20490, Name: Qiana, Score: 647
        Wish No.1: School: 20006, Major(s): 202 202 , Exchange: 0
ID: 20511, Name: Petra, Score: 550
        Wish No.1: School: 20001, Major(s): 201 , Exchange: 1
        Wish No.2: School: 20005, Major(s): 202 203 203 , Exchange: 0
        Wish No.3: School: 20004, Major(s): 201 202 201 , Exchange: 1
ID: 20529, Name: Tina, Score: 569
        Wish No.1: School: 20007, Major(s): 201 201 , Exchange: 0
ID: 20542, Name: Emy, Score: 553
        Wish No.1: School: 20006, Major(s): 201 , Exchange: 0
        Wish No.2: School: 20001, Major(s): 204 201 202 204 , Exchange: 0
ID: 20559, Name: Amy, Score: 517
        Wish No.1: School: 20006, Major(s): 201 203 201 , Exchange: 1
        Wish No.2: School: 20008, Major(s): 201 , Exchange: 0
ID: 20564, Name: Shelton, Score: 522
        Wish No.1: School: 20004, Major(s): 202 204 201 202 , Exchange: 0
        Wish No.2: School: 20002, Major(s): 201 201 , Exchange: 0
        Wish No.3: School: 20006, Major(s): 202 201 203 , Exchange: 1
        Wish No.4: School: 20007, Major(s): 201 , Exchange: 0
        Wish No.5: School: 20005, Major(s): 203 201 201 , Exchange: 0
ID: 20582, Name: Canvas, Score: 568
        Wish No.1: School: 20005, Major(s): 201 , Exchange: 0
        Wish No.2: School: 20007, Major(s): 204 201 203 201 , Exchange: 0
        Wish No.3: School: 20006, Major(s): 201 202 202 , Exchange: 0
        Wish No.4: School: 20002, Major(s): 204 201 204 204 , Exchange: 0
ID: 20593, Name: Vanilla, Score: 528
        Wish No.1: School: 20001, Major(s): 201 , Exchange: 1
        Wish No.2: School: 20007, Major(s): 203 202 204 203 , Exchange: 1
        Wish No.3: School: 20005, Major(s): 202 202 201 , Exchange: 0
ID: 20613, Name: John, Score: 599
        Wish No.1: School: 20005, Major(s): 201 201 , Exchange: 1
        Wish No.2: School: 20004, Major(s): 201 202 202 , Exchange: 0
        Wish No.3: School: 20003, Major(s): 202 202 , Exchange: 0
        Wish No.4: School: 20009, Major(s): 202 202 203 203 , Exchange: 0
        Wish No.5: School: 20009, Major(s): 204 204 201 202 , Exchange: 0
        Wish No.6: School: 20006, Major(s): 203 201 203 , Exchange: 0
ID: 20718, Name: Wyles, Score: 524
        Wish No.1: School: 20004, Major(s): 201 202 204 204 , Exchange: 0
        Wish No.2: School: 20002, Major(s): 202 201 , Exchange: 0
        Wish No.3: School: 20005, Major(s): 203 202 201 , Exchange: 1
        Wish No.4: School: 20003, Major(s): 203 202 202 , Exchange: 1
ID: 20746, Name: River, Score: 528
        Wish No.1: School: 20005, Major(s): 202 201 , Exchange: 0
        Wish No.2: School: 20002, Major(s): 201 , Exchange: 1
        Wish No.3: School: 20006, Major(s): 203 202 204 203 , Exchange: 0
        Wish No.4: School: 20007, Major(s): 203 203 202 , Exchange: 1
        Wish No.5: School: 20007, Major(s): 201 , Exchange: 0
ID: 20763, Name: Umi, Score: 599
        Wish No.1: School: 20003, Major(s): 203 202 201 , Exchange: 0
        Wish No.2: School: 20007, Major(s): 202 204 201 201 , Exchange: 1
        Wish No.3: School: 20003, Major(s): 202 203 204 201 , Exchange: 0
        Wish No.4: School: 20004, Major(s): 204 201 203 201 , Exchange: 0
        Wish No.5: School: 20007, Major(s): 203 201 203 , Exchange: 0
        Wish No.6: School: 20007, Major(s): 201 202 , Exchange: 0
ID: 20787, Name: Colin, Score: 603
        Wish No.1: School: 20005, Major(s): 201 201 203 , Exchange: 1
        Wish No.2: School: 20003, Major(s): 201 , Exchange: 0
        Wish No.3: School: 20009, Major(s): 201 203 201 , Exchange: 0
        Wish No.4: School: 20002, Major(s): 201 , Exchange: 0
        Wish No.5: School: 20003, Major(s): 202 201 , Exchange: 0
ID: 20792, Name: Faye, Score: 602
        Wish No.1: School: 20009, Major(s): 201 , Exchange: 0
        Wish No.2: School: 20007, Major(s): 202 201 203 , Exchange: 1
        Wish No.3: School: 20004, Major(s): 202 201 , Exchange: 0
ID: 20821, Name: Sofia, Score: 586
        Wish No.1: School: 20001, Major(s): 203 203 201 , Exchange: 0
ID: 20871, Name: Kan, Score: 543
        Wish No.1: School: 20001, Major(s): 201 203 202 203 , Exchange: 1
        Wish No.2: School: 20009, Major(s): 201 202 , Exchange: 1
        Wish No.3: School: 20009, Major(s): 202 203 204 201 , Exchange: 1
        Wish No.4: School: 20008, Major(s): 201 , Exchange: 1
ID: 20876, Name: Laura, Score: 537
        Wish No.1: School: 20003, Major(s): 201 , Exchange: 1
        Wish No.2: School: 20006, Major(s): 201 , Exchange: 1
        Wish No.3: School: 20004, Major(s): 201 202 203 203 , Exchange: 1
        Wish No.4: School: 20007, Major(s): 201 , Exchange: 1
ID: 20885, Name: Mayo, Score: 518
        Wish No.1: School: 20001, Major(s): 201 , Exchange: 0
        Wish No.2: School: 20004, Major(s): 201 203 203 , Exchange: 0
        Wish No.3: School: 20006, Major(s): 201 202 , Exchange: 0
ID: 20899, Name: Sensa, Score: 598
        Wish No.1: School: 20005, Major(s): 201 , Exchange: 1
        Wish No.2: School: 20007, Major(s): 202 202 , Exchange: 1
        Wish No.3: School: 20009, Major(s): 201 202 203 203 , Exchange: 1
        Wish No.4: School: 20001, Major(s): 203 201 202 , Exchange: 0
        Wish No.5: School: 20002, Major(s): 201 , Exchange: 1
        Wish No.6: School: 20003, Major(s): 201 203 203 , Exchange: 1
ID: 20909, Name: Phini, Score: 537
        Wish No.1: School: 20001, Major(s): 201 204 201 203 , Exchange: 0
        Wish No.2: School: 20006, Major(s): 201 , Exchange: 0
        Wish No.3: School: 20005, Major(s): 201 , Exchange: 1
